,DATE,STAR,REVIEW
15,2021년 2월 16일,별표 5개 만점에 1개를 받았습니다.,"이게 말이 되는가요? 작년에 5g가 안되서 물었더니 2020년 말까지 모든 망이 제대로 깔릴거라고 양해하시라고 그래서 기다렸는데.지금 까지도 3g 4g 하고있으니 황당하네요. 모바일사업을 접는건 회사겠지만 소비자를 우롱 해서는 안됩니다,ㄷ"
16,2021년 2월 20일,별표 5개 만점에 3개를 받았습니다.,28일까지하던 출석체크 이벤트가 갑자기 사라졌네요... 열심히 출석체크 하고있었는데;;
17,2020년 12월 25일,별표 5개 만점에 1개를 받았습니다.,포인트엄청 많았는데. 그많던. 포인트는.다 소멸되구. 금액이. 16만원정도. 소멸되면. 문자나. 보내드려야하는데 그런것도. 없구. 진짜 황당그자체 엘지유플러스. 꽤 오래쓴. 사람인데 혜택 전혀. 없네요
18,2020년 12월 15일,별표 5개 만점에 1개를 받았습니다.,몇달전부터 계속 들어가면 유심카드를 인식할 수 없습니다 라고 뜨고 유심을 뺐다끼우고 껏다 켜봐도 안되네요 뭐가문제죠??
19,2021년 2월 8일,별표 5개 만점에 1개를 받았습니다.,유플 결혼전에도 사용했고 결혼후엔 아이들까지 사용중인데 다른곳과 점점더 비교됨. 곧 계약 끝나는데 진심 그날만 기다림.
20,2021년 1월 29일,별표 5개 만점에 1개를 받았습니다.,별로임 혜탁은 다른통신사보다 적고 그렇다고 통화나 인터넷이 빠른것도 아니고 농장선 통화불가도뜨고 인터넷은 종일 로딩 ㅋ 귀찮아서 쓰고있지만 한부도 다끝나쓰니 다른통신사 갈아타야할듯
21,2020년 12월 17일,별표 5개 만점에 1개를 받았습니다.,코로나19에대한 대처나 보상이 전혀 없다.(예)극장.외식 가지도 하지도 못하는데 할인 쿠폰은 매달 사라지고 상황실에서 어쩔수 없다고 하고 극장도 이제는 한정이 되어 있어서 엄청 불편 합니다.
22,2020년 12월 22일,별표 5개 만점에 1개를 받았습니다.,솔직히 저 6년 사용중인데 가면갈수록 혜택이 줄어드네여.. 장기이용자혜택이 너무없어여.. 요금제도6만원짜리사용하는데
23,2021년 1월 21일,별표 5개 만점에 1개를 받았습니다.,왜 ? 유플 티비 갑자기 잘 되던 미러링인 안됨? 메가박스 영화도 글코 ~ 서비스 개똥인 유플 ~ 광고 전화는 졸 많이 오고 ~ 짜증 이빠이네 별 한개도 아깝네
24,2020년 12월 15일,별표 5개 만점에 1개를 받았습니다.,장기이용자인 나와 똑같은 생각하는 장기 이용자 리뷰 잘 보았습니다..기간 끝나면 빠이빠이~ 절대 유플러스로 안 돌아가겠음
25,2020년 12월 15일,별표 5개 만점에 5개를 받았습니다.,이전 앱보다 훨씬 직관적이고 사용자 UI에 맞춰져 있는것 같아요~ 추가로 멤버쉽 번호 복사하기 기능이 있으면 좋을것 같습니다.
26,2020년 12월 15일,별표 5개 만점에 1개를 받았습니다.,"장기유저는 호구로 보는거 같다. 기존 혜택도 사라지는게 많고, 고객 니즈를 들어보기는 하는지?"
